name, average, standard, count
Chris_Cooper, 0.488288, 0.000000, 2
Chris_Rock, 0.260615, 0.000000, 2
Chris_Tucker, 0.353603, 0.000000, 2
Chuck_Amato, 0.282015, 0.000000, 2
Chuck_Yeager, 0.343831, 0.000000, 2
Chung_Mong-hun, 0.236847, 0.000000, 2
Chung_Mong-joon, 0.246077, 0.000000, 2
Cindy_Crawford, 0.280816, 0.073941, 3
Cindy_Margolis, 0.385201, 0.000000, 2
Ciro_Gomes, 0.351197, 0.086729, 5
Claire_Danes, 0.195585, 0.026996, 3
Claire_Hentzen, 0.298645, 0.000000, 2
Claire_Leger, 0.218773, 0.000000, 2
Clara_Harris, 0.273328, 0.059562, 5
Clare_Short, 0.414902, 0.225472, 4
Claudia_Pechstein, 0.451739, 0.129573, 5
Claudia_Schiffer, 0.194328, 0.034312, 3
Clay_Aiken, 0.573772, 0.198310, 6
Clint_Eastwood, 0.378688, 0.122180, 6
Colin_Farrell, 0.348139, 0.104642, 9
Colin_Jackson, 0.436695, 0.000000, 2
Colin_Montgomerie, 0.477223, 0.107657, 5
Colin_Powell, 0.557085, 0.120663, 236
Conan_OBrien, 0.399520, 0.069210, 4
Conchita_Martinez, 0.211453, 0.024846, 3
Condoleezza_Rice, 0.368831, 0.090326, 11
Constance_Marie, 0.263736, 0.024846, 3
Coretta_Scott_King, 0.235486, 0.025612, 3
Corinne_Coman, 0.300446, 0.000000, 2
Costas_Simitis, 0.244887, 0.081419, 6
Courtney_Love, 0.368405, 0.000000, 2
Cristina_Fernandez, 0.276780, 0.000000, 2
Cristina_Saralegui, 0.369516, 0.000000, 2
Cruz_Bustamante, 0.217875, 0.071739, 5
Cyndi_Thompson, 0.185507, 0.000000, 2
Daisy_Fuentes, 0.351902, 0.063208, 4
Dai_Bachtiar, 0.432353, 0.000000, 2
Dalai_Lama, 0.279485, 0.000000, 2
Dale_Earnhardt_Jr, 0.299900, 0.080784, 4
Damon_van_Dam, 0.237046, 0.000000, 2
Daniela_Hantuchova, 0.379037, 0.000000, 2
Daniel_Day-Lewis, 0.281575, 0.054220, 3
Daniel_Radcliffe, 0.308755, 0.069793, 4
Dan_Morales, 0.333120, 0.028656, 3
Dan_Wheldon, 0.300892, 0.000000, 2
Darrell_Issa, 0.317579, 0.000000, 2
Darrell_Porter, 0.253235, 0.000000, 2
Darren_Clarke, 0.558962, 0.000000, 2
Daryl_Hannah, 0.311640, 0.000000, 2
Dave_Campo, 0.338899, 0.017247, 3
David_Anderson, 0.507893, 0.116172, 5
David_Beckham, 0.266000, 0.123518, 31
David_Bell, 0.598901, 0.000000, 2
David_Caraway, 0.200243, 0.000000, 2
David_Caruso, 0.297093, 0.036354, 3
David_Coulthard, 0.631323, 0.000000, 2
David_Dodge, 0.220666, 0.000000, 2
David_Heyman, 0.334888, 0.000000, 2
David_Heymann, 0.516807, 0.137586, 5
David_Hyde_Pierce, 0.212874, 0.042457, 4
David_Kelley, 0.574812, 0.000000, 2
David_Leahy, 0.265554, 0.000000, 2
David_Myers, 0.436606, 0.000000, 2
David_Nalbandian, 0.310760, 0.152299, 14
David_Spade, 0.306306, 0.000000, 2
David_Stern, 0.402571, 0.118678, 4
David_Trimble, 0.394315, 0.184232, 5
David_Wells, 0.307432, 0.084364, 7
David_Wolf, 0.260290, 0.000000, 2
Dean_Barkley, 0.577902, 0.145728, 4
Debbie_Reynolds, 0.201237, 0.044836, 4
Debra_Brown, 0.243788, 0.000000, 2
Debra_Messing, 0.462421, 0.172159, 3
Demetrius_Ferraciu, 0.239426, 0.000000, 2
Demi_Moore, 0.422170, 0.096713, 4
Denise_Johnson, 0.342243, 0.000000, 2
Dennis_Erickson, 0.159795, 0.000000, 2
Dennis_Hastert, 0.450163, 0.082212, 6
Dennis_Kozlowski, 0.350345, 0.000000, 2
Dennis_Kucinich, 0.353301, 0.070656, 7
Dennis_Powell, 0.463913, 0.000000, 2
Denzel_Washington, 0.365641, 0.176120, 5
Derek_Jeter, 0.288044, 0.057563, 4
Derek_Lowe, 0.305679, 0.000000, 2
Desiree_Lemosi, 0.259436, 0.000000, 2
Dexter_Jackson, 0.271556, 0.000000, 2
Diana_Krall, 0.398498, 0.082639, 6
Diana_Munz, 0.350119, 0.054863, 3
Diana_Taurasi, 0.277235, 0.000000, 2
Diane_Green, 0.515573, 0.000000, 2
Dianne_Feinstein, 0.249400, 0.051962, 3
Dick_Cheney, 0.613657, 0.171413, 14
Dick_Clark, 0.277020, 0.045789, 3
Dick_Latessa, 0.352553, 0.000000, 2
Dick_Vermeil, 0.335633, 0.000000, 2
Dino_de_Laurentis, 0.213411, 0.000000, 2
Dolly_Parton, 0.398372, 0.000000, 2
Dolma_Tsering, 0.360361, 0.000000, 2
Dominik_Garcia-Lorido, 0.312181, 0.000000, 2
Dominique_de_Villepin, 0.272660, 0.136758, 15
Donald_Evans, 0.261243, 0.000000, 2
Donald_Fehr, 0.320571, 0.055218, 4
Donald_Pettit, 0.188926, 0.029397, 3
Donald_Rumsfeld, 0.273629, 0.097268, 121
Donatella_Versace, 0.367117, 0.069543, 3
Donna_Shalala, 0.229033, 0.000000, 2
Don_Nickles, 0.211193, 0.000000, 2
Don_Siegelman, 0.241317, 0.069144, 4
Doris_Roberts, 0.264023, 0.053725, 3
Doris_Schroeder, 0.293138, 0.122037, 4
Dorthy_Moxley, 0.337693, 0.000000, 2
Doug_Collins, 0.684785, 0.000000, 2
Doug_Duncan, 0.186343, 0.000000, 2
Doug_Melvin, 0.318200, 0.098797, 3
Drew_Barrymore, 0.202286, 0.000000, 2
Duane_Lee_Chapman, 0.261473, 0.000000, 2
Dwayne_Johnson, 0.188213, 0.000000, 2
Eddie_Sutton, 0.459033, 0.000000, 2
Eddy_Merckx, 0.365793, 0.000000, 2
Edie_Falco, 0.300875, 0.000000, 2
Edmund_Hillary, 0.339623, 0.031255, 3
Edmund_Stoiber, 0.440693, 0.154304, 13
Eduardo_Duhalde, 0.591063, 0.199843, 14
Eduard_Shevardnadze, 0.438628, 0.126828, 5
Edward_James_Olmos, 0.262846, 0.000000, 2
Edward_Kennedy, 0.391365, 0.084147, 3
Edward_Lu, 0.385286, 0.162915, 6
Edward_Norton, 0.227962, 0.000000, 2
Edward_Said, 0.350895, 0.000000, 2
Edwina_Currie, 0.349697, 0.103641, 4
Edwin_Edwards, 0.320936, 0.076106, 3
Ed_Rosenthal, 0.379364, 0.084898, 3
Ed_Smart, 0.434177, 0.127881, 3
Eileen_Coparropa, 0.285113, 0.022316, 3
Elena_Bovina, 0.244705, 0.035395, 3
Eliane_Karp, 0.256651, 0.062096, 4
Elijah_Wood, 0.420408, 0.117630, 3
Elinor_Caplan, 0.347087, 0.000000, 2
Elin_Nordegren, 0.385163, 0.000000, 2
Elisabeth_Schumacher, 0.184641, 0.000000, 2
Elizabeth_Dole, 0.220186, 0.022098, 4
Elizabeth_Hurley, 0.359231, 0.090269, 5
Elizabeth_Shue, 0.196865, 0.000000, 2
Elizabeth_Smart, 0.487740, 0.139392, 5
Elizabeth_Taylor, 0.396078, 0.000000, 2
Ellen_DeGeneres, 0.310151, 0.000000, 2
Ellen_Engleman, 0.283755, 0.000000, 2
Elsa_Zylberstein, 0.319677, 0.082837, 6
Elton_John, 0.447454, 0.116875, 7
Elvis_Presley, 0.358262, 0.000000, 2
Emanuel_Ginobili, 0.684798, 0.156710, 5
Emile_Lahoud, 0.419940, 0.000000, 2
Emily_Robison, 0.235912, 0.000000, 2
Emmanuelle_Beart, 0.297877, 0.043468, 3
Emma_Thompson, 0.184338, 0.021031, 3
Emma_Watson, 0.218285, 0.275887, 5
Emmit_Smith, 0.229902, 0.000000, 2
Enrique_Bolanos, 0.338094, 0.183152, 5
